id;month;energy_provider_id
301;NOVEMBER;71
302;DECEMBER;71
303;JANUARY;71
304;FEBRUARY;71
305;MARCH;71
306;NOVEMBER;73
307;DECEMBER;73
308;JANUARY;73
309;FEBRUARY;73
3099;MARCH;73
